Time, Catch
12.366, 1
15.866, 2
19.851, 3
23.295, 4
26.743, 5
30.808, 6
34.608, 7
38.813, 8
42.329, 9
46.079, 10
49.893, 11
53.41, 12
56.861, 13
60.501, 14
64.07, 15
67.481, 16
71.308, 17
74.933, 18
78.417, 19
82.107, 20
85.65, 21
89.375, 22
93.526, 23
97.166, 24
101.106, 25
104.763, 26
108.177, 27
111.859, 28
115.639, 29
119.318, 30
123.115, 31
126.388, 32
130.11, 33
133.663, 34
137.411, 35
140.906, 36
144.441, 37
147.643, 38
151.423, 39
155.383, 40
158.547, 41
161.992, 42
165.98, 43
169.794, 44
173.525, 45
177.279, 46
181.065, 47
184.715, 48
188.213, 49
191.84, 50
195.623, 51
199.388, 52
203.378, 53
206.871, 54
210.725, 55
213.993, 56
217.781, 57
221.386, 58
