Time, Plan
0, 1
0, 2
0.496, 3
0.514, 4
0.531, 5
0.549, 6
0.549, 7
0.584, 8
0.602, 9
0.62, 10
0.637, 11
0.655, 12
0.726, 13
0.726, 14
0.743, 15
0.761, 16
0.796, 17
0.796, 18
0.814, 19
0.991, 20
1.008, 21
1.025, 22
1.043, 23
1.061, 24
1.096, 25
1.114, 26
1.131, 27
1.149, 28
1.291, 29
1.291, 30
1.308, 31
1.326, 32
1.344, 33
1.361, 34
1.361, 35
1.432, 36
1.432, 37
1.467, 38
1.467, 39
1.503, 40
1.573, 41
1.59, 42
1.608, 43
1.608, 44
1.73, 45
1.766, 46
1.819, 47
1.819, 48
1.819, 49
1.854, 50
1.872, 51
1.872, 52
1.925, 53
1.942, 54
1.96, 55
1.978, 56
1.995, 57
2.013, 58
2.013, 59
2.489, 60
2.507, 61
2.524, 62
2.524, 63
2.542, 64
2.56, 65
2.577, 66
2.595, 67
2.613, 68
2.613, 69
2.789, 70
2.789, 71
2.824, 72
2.824, 73
2.842, 74
2.859, 75
2.877, 76
2.947, 77
3, 78
3.194, 79
3.336, 80
3.336, 81
3.354, 82
3.354, 83
3.442, 84
3.46, 85
3.46, 86
3.477, 87
3.495, 88
3.513, 89
3.548, 90
3.583, 91
3.601, 92
3.601, 93
3.636, 94
3.636, 95
3.707, 96
3.777, 97
3.777, 98
3.794, 99
3.936, 100
