Time, Catch
22.529, 1
24.382, 2
25.829, 3
26.588, 4
28.475, 5
28.616, 6
29.782, 7
30.135, 8
32.005, 9
32.463, 10
33.24, 11
33.77, 12
35.519, 13
35.905, 14
37.103, 15
37.633, 16
39.327, 17
39.468, 18
40.916, 19
41.145, 20
42.894, 21
42.947, 22
44.57, 23
45.028, 24
46.455, 25
47.249, 26
48.112, 27
48.306, 28
50.072, 29
51.167, 30
52.082, 31
52.47, 32
53.685, 33
54.425, 34
55.765, 35
56.328, 36
57.508, 37
58.405, 38
59.832, 39
60.091, 40
60.893, 41
61.966, 42
62.881, 43
64.063, 44
64.397, 45
65.862, 46
66.865, 47
67.57, 48
68.696, 49
69.985, 50
71.182, 51
71.376, 52
72.327, 53
73.861, 54
74.95, 55
75.55, 56
76.133, 57
77.77, 58
78.845, 59
79.233, 60
79.939, 61
80.98, 62
82.039, 63
82.692, 64
84.123, 65
84.583, 66
86.438, 67
86.456, 68
87.198, 69
88.416, 70
89.827, 71
90.074, 72
91.009, 73
92.278, 74
93.391, 75
93.497, 76
95.032, 77
96.177, 78
97.607, 79
97.713, 80
98.859, 81
99.721, 82
100.834, 83
101.346, 84
102.706, 85
102.989, 86
104.63, 87
105.284, 88
106.343, 89
106.537, 90
108.037, 91
108.549, 92
110.136, 93
110.366, 94
111.69, 95
111.919, 96
113.578, 97
114.779, 98
115.432, 99
115.661, 100
117.463, 101
118.292, 102
119.175, 103
119.246, 104
121.168, 105
121.892, 106
122.738, 107
123.461, 108
124.557, 109
125.988, 110
126.765, 111
126.853, 112
128.318, 113
129.184, 114
130.421, 115
130.685, 116
132.147, 117
133.1, 118
134.035, 119
134.37, 120
135.854, 121
136.614, 122
137.655, 123
137.991, 124
139.386, 125
139.775, 126
141.56, 127
141.684, 128
143.201, 129
143.729, 130
145.423, 131
145.652, 132
147.089, 133
147.493, 134
148.985, 135
149.179, 136
150.974, 137
151.537, 138
152.959, 139
153.099, 140
154.756, 141
155.091, 142
156.549, 143
156.973, 144
158.121, 145
158.634, 146
160.274, 147
160.469, 148
162.288, 149
162.8, 150
163.752, 151
164.387, 152
165.711, 153
166.259, 154
167.618, 155
167.689, 156
169.49, 157
170.32, 158
171.592, 159
171.68, 160
173.482, 161
173.957, 162
175.58, 163
175.72, 164
177.256, 165
177.467, 166
179.039, 167
179.162, 168
181.26, 169
181.455, 170
182.673, 171
182.743, 172
184.757, 173
184.863, 174
186.627, 175
186.751, 176
188.251, 177
188.251, 178
190.016, 179
190.211, 180
192.029, 181
192.082, 182
193.918, 183
194.095, 184
195.505, 185
196.317, 186
197.848, 187
197.953, 188
199.763, 189
199.869, 190
201.7, 191
201.913, 192
203.282, 193
203.422, 194
205.195, 195
205.652, 196
207.041, 197
207.059, 198
208.941, 199
209.396, 200
210.855, 201
211.066, 202
212.406, 203
213.071, 204
214.04, 205
215.005, 206
216.182, 207
216.707, 208
217.795, 209
218.302, 210
220.023, 211
221.06, 212
221.27, 213
222.32, 214
224.01, 215
224.379, 216
225.417, 217
226.192, 218
227.352, 219
227.774, 220
228.973, 221
229.236, 222
230.942, 223
231.189, 224
232.893, 225
233.069, 226
234.916, 227
234.985, 228
236.608, 229
237.03, 230
238.293, 231
238.873, 232
