Time, Catch
22.459, 1
24.737, 2
26.111, 3
26.341, 4
28.565, 5
28.812, 6
29.836, 7
30.72, 8
32.644, 9
32.944, 10
33.807, 11
35.591, 12
36.454, 13
36.79, 14
37.849, 15
39.278, 16
40.409, 17
40.939, 18
41.697, 19
43.531, 20
44.484, 21
44.484, 22
45.684, 23
47.413, 24
48.279, 25
48.667, 26
50.22, 27
50.998, 28
52.233, 29
52.744, 30
53.908, 31
54.668, 32
55.411, 33
56.24, 34
57.44, 35
58.498, 36
59.575, 37
60.404, 38
61.392, 39
62.099, 40
63.407, 41
64.449, 42
65.454, 43
65.823, 44
67.815, 45
68.237, 46
69.56, 47
69.789, 48
71.96, 49
72.155, 50
72.913, 51
73.407, 52
75.738, 53
75.879, 54
77.221, 55
77.644, 56
79.675, 57
80.152, 58
81.264, 59
81.529, 60
83.012, 61
83.665, 62
85.323, 63
85.604, 64
87.301, 65
87.407, 66
88.732, 67
89.403, 68
91.519, 69
92.084, 70
93.178, 71
93.46, 72
95.363, 73
95.399, 74
97.163, 75
97.48, 76
99.403, 77
100.034, 78
101.057, 79
101.533, 80
103.75, 81
103.767, 82
104.822, 83
105.296, 84
107.553, 85
108.153, 86
109.14, 87
109.529, 88
110.977, 89
111.525, 90
112.391, 91
113.361, 92
114.455, 93
115.32, 94
116.751, 95
116.768, 96
117.933, 97
118.816, 98
119.77, 99
120.777, 100
122.381, 101
123.016, 102
123.794, 103
124.57, 104
126.528, 105
126.599, 106
127.87, 107
128.487, 108
129.989, 109
130.678, 110
131.861, 111
132.497, 112
133.699, 113
134.967, 114
135.938, 115
136.203, 116
138.198, 117
138.427, 118
139.572, 119
140.562, 120
141.939, 121
142.486, 122
143.563, 123
144.586, 124
146.05, 125
146.155, 126
147.85, 127
148.239, 128
149.808, 129
150.232, 130
150.779, 131
151.663, 132
153.779, 133
154.291, 134
155.227, 135
155.861, 136
157.874, 137
158.28, 138
158.916, 139
160.347, 140
162.113, 141
162.166, 142
162.997, 143
164.091, 144
165.344, 145
165.662, 146
166.898, 147
168.788, 148
169.441, 149
169.794, 150
170.89, 151
172.108, 152
173.218, 153
173.36, 154
175.284, 155
175.707, 156
177.755, 157
177.755, 158
179.203, 159
179.291, 160
181.075, 161
181.409, 162
183.139, 163
183.475, 164
184.958, 165
185.312, 166
186.53, 167
187.307, 168
188.631, 169
189.161, 170
190.218, 171
191.155, 172
192.409, 173
193.045, 174
194.386, 175
194.897, 176
196.469, 177
196.556, 178
198.428, 179
199.309, 180
199.82, 181
200.049, 182
202.275, 183
202.875, 184
203.423, 185
204.55, 186
205.679, 187
207.02, 188
207.444, 189
208.238, 190
209.897, 191
211.417, 192
211.505, 193
212.406, 194
213.782, 195
214.948, 196
215.177, 197
216.572, 198
217.701, 199
219.113, 200
219.802, 201
220.579, 202
221.778, 203
