Time, Plan
0, 1
0.659, 2
1.03, 3
1.542, 4
1.736, 5
2.654, 6
3.113, 7
3.202, 8
3.272, 9
4.261, 10
4.42, 11
4.613, 12
4.931, 13
6.221, 14
11.147, 15
11.183, 16
11.395, 17
11.43, 18
11.501, 19
11.677, 20
12.472, 21
12.861, 22
12.932, 23
13.321, 24
13.48, 25
13.639, 26
14.628, 27
15.015, 28
15.58, 29
16.587, 30
16.834, 31
17.433, 32
18.368, 33
18.615, 34
18.827, 35
18.985, 36
19.215, 37
19.304, 38
21.263, 39
21.544, 40
22.232, 41
22.32, 42
22.62, 43
22.779, 44
23.325, 45
23.696, 46
23.784, 47
23.855, 48
23.89, 49
24.12, 50
24.58, 51
25.621, 52
26.415, 53
26.415, 54
27.156, 55
27.633, 56
27.987, 57
29.399, 58
30.972, 59
31.855, 60
32.367, 61
33.41, 62
33.693, 63
33.799, 64
34.01, 65
34.417, 66
35.406, 67
36.536, 68
36.766, 69
37.066, 70
37.172, 71
37.473, 72
37.915, 73
38.18, 74
38.798, 75
40.774, 76
40.845, 77
41.516, 78
41.884, 79
42.042, 80
42.378, 81
42.679, 82
46.086, 83
46.952, 84
47.146, 85
47.375, 86
48.029, 87
48.1, 88
48.382, 89
48.471, 90
48.577, 91
48.577, 92
48.7, 93
49.496, 94
49.955, 95
50.096, 96
51.456, 97
51.633, 98
52.833, 99
53.22, 100
53.238, 101
54.668, 102
54.721, 103
54.845, 104
56.574, 105
56.981, 106
57.087, 107
57.281, 108
57.529, 109
57.688, 110
58.182, 111
58.783, 112
58.801, 113
59.099, 114
59.117, 115
61.466, 116
61.961, 117
62.349, 118
62.438, 119
63.621, 120
64.186, 121
65.069, 122
65.723, 123
66.077, 124
67.116, 125
67.275, 126
67.84, 127
68.653, 128
69.182, 129
69.483, 130
70.366, 131
71.126, 132
71.197, 133
71.815, 134
71.956, 135
73.544, 136
73.827, 137
74.162, 138
74.322, 139
74.922, 140
77.729, 141
77.782, 142
78.807, 143
78.895, 144
79.019, 145
79.301, 146
79.513, 147
79.673, 148
79.973, 149
80.132, 150
80.344, 151
81.915, 152
83.699, 153
83.876, 154
84.159, 155
84.176, 156
84.706, 157
85.165, 158
85.43, 159
85.536, 160
85.784, 161
85.907, 162
86.437, 163
86.825, 164
87.55, 165
87.939, 166
88.398, 167
89.511, 168
90.554, 169
90.713, 170
91.084, 171
91.72, 172
92.639, 173
92.957, 174
93.01, 175
93.133, 176
93.275, 177
93.398, 178
94.105, 179
94.582, 180
96.893, 181
97.795, 182
98.024, 183
98.448, 184
100.144, 185
100.179, 186
100.285, 187
100.444, 188
100.48, 189
101.892, 190
102.886, 191
103.928, 192
103.963, 193
104.175, 194
104.918, 195
104.953, 196
105.465, 197
105.73, 198
106.047, 199
106.083, 200
106.118, 201
106.525, 202
106.648, 203
106.684, 204
112.689, 202
112.919, 203
113.255, 204
119.412, 205
119.412, 206
119.695, 207
119.748, 208
119.96, 209
120.613, 210
121.319, 211
127.323, 209
127.587, 210
128.928, 211
129.193, 212
129.811, 213
130.783, 214
130.907, 215
131.631, 216
131.666, 217
131.701, 218
131.737, 219
132.55, 220
132.673, 221
133.185, 222
133.344, 223
134.42, 224
134.719, 225
134.755, 226
134.914, 227
135.073, 228
135.726, 229
135.938, 230
136.345, 231
142.348, 229
142.825, 230
142.842, 231
150.346, 232
150.876, 233
152.604, 234
152.868, 235
155.728, 236
156.081, 237
156.24, 238
156.576, 239
157.211, 240
159.808, 241
160.144, 242
161.028, 243
162.543, 244
162.825, 245
163.214, 246
163.902, 247
165.527, 248
165.598, 249
165.774, 250
168.052, 251
168.51, 252
168.704, 253
169.303, 254
169.461, 255
169.496, 256
169.673, 257
170.079, 258
170.221, 259
170.715, 260
172.412, 261
176.281, 262
177.376, 263
179.143, 264
179.355, 265
180.274, 266
180.362, 267
180.433, 268
181.209, 269
181.262, 270
183.77, 271
184.724, 272
185.042, 273
185.095, 274
185.925, 275
186.26, 276
186.402, 277
186.508, 278
186.631, 279
186.879, 280
187.038, 281
187.303, 282
187.639, 283
187.939, 284
189.476, 285
189.882, 286
190.165, 287
191.137, 288
194.032, 289
194.739, 290
194.792, 291
195.268, 292
198.359, 293
198.501, 294
199.417, 295
203.215, 296
203.392, 297
203.551, 298
203.586, 299
203.904, 300
207.102, 301
207.65, 302
209.028, 303
209.222, 304
209.664, 305
209.787, 306
209.964, 307
210.476, 308
215.632, 309
215.65, 310
216.374, 311
216.655, 312
216.797, 313
217.362, 314
217.609, 315
217.644, 316
217.821, 317
218.209, 318
218.685, 319
218.703, 320
219.427, 321
219.515, 322
219.568, 323
219.797, 324
221.279, 325
221.542, 326
221.769, 327
222.175, 328
222.434, 329
223.544, 330
223.774, 331
224.128, 332
224.445, 333
224.974, 334
225.044, 335
225.061, 336
226.422, 337
226.669, 338
226.846, 339
227.376, 340
227.606, 341
227.871, 342
228.012, 343
228.436, 344
228.541, 345
229.265, 346
229.53, 347
229.849, 348
230.096, 349
230.361, 350
230.679, 351
230.891, 352
231.05, 353
231.527, 354
231.703, 355
232.092, 356
232.958, 357
233.611, 358
233.717, 359
233.734, 360
234.632, 361
235.039, 362
235.232, 363
235.515, 364
235.55, 365
235.603, 366
235.639, 367
235.939, 368
236.151, 369
236.522, 370
236.558, 371
237.388, 372
237.441, 373
237.6, 374
237.793, 375
240.335, 376
246.338, 374
246.832, 375
247.203, 376
248.263, 377
248.299, 378
248.492, 379
248.704, 380
249.41, 381
250.135, 382
250.612, 383
251.018, 384
257.023, 382
257.236, 383
257.253, 384
257.324, 385
257.359, 386
258.17, 387
258.205, 388
259.018, 389
259.795, 390
259.865, 391
259.919, 392
260.518, 393
260.589, 394
260.783, 395
261.066, 396
262.532, 397
262.585, 398
264.788, 399
265.035, 400
265.124, 401
265.124, 402
268.527, 403
268.58, 404
271.432, 405
271.538, 406
271.679, 407
272.986, 408
275.203, 409
275.362, 410
279.08, 411
279.275, 412
280.105, 413
280.14, 414
282.321, 415
283.541, 416
285.636, 417
286.29, 418
288.334, 419
288.476, 420
290.327, 421
