Time, Plan
0, 1
0.336, 2
0.407, 3
0.583, 4
0.671, 5
0.671, 6
0.83, 7
0.847, 8
2.957, 9
3.134, 10
4.122, 11
4.175, 12
4.564, 13
4.882, 14
5.411, 15
5.853, 16
6.878, 17
7.779, 18
9.172, 19
9.225, 20
9.243, 21
9.278, 22
9.296, 23
9.384, 24
10.003, 25
10.126, 26
10.25, 27
10.285, 28
10.356, 29
10.869, 30
11.346, 31
11.416, 32
13.805, 33
14.941, 34
16.548, 35
18.055, 36
18.073, 37
18.232, 38
18.391, 39
18.532, 40
18.638, 41
18.708, 42
19.29, 43
19.361, 44
19.502, 45
20.913, 46
23.398, 47
23.416, 48
23.469, 49
24.033, 50
25.69, 51
26.465, 52
28.121, 53
32.12, 51
32.19, 52
32.895, 53
32.983, 54
33.001, 55
33.424, 56
33.547, 57
33.917, 58
33.97, 59
33.988, 60
34.059, 61
34.323, 62
34.64, 63
35.929, 64
37.267, 65
41.2, 66
41.394, 67
41.675, 68
41.693, 69
42.239, 70
42.415, 71
42.415, 72
42.731, 73
43.172, 74
43.577, 75
43.648, 76
43.772, 77
43.877, 78
44.036, 79
44.195, 80
44.389, 81
44.511, 82
44.9, 83
44.935, 84
45.129, 85
45.553, 86
45.642, 87
49.644, 85
50.031, 86
50.19, 87
55.179, 83
55.285, 84
55.338, 85
56.414, 86
56.609, 87
56.927, 88
57.474, 89
60.329, 90
64.343, 88
65.222, 89
70.224, 85
71.811, 86
71.829, 87
72.464, 88
73.099, 89
73.735, 90
73.753, 91
74.088, 92
74.124, 93
74.336, 94
76.693, 95
78.862, 96
79.497, 97
80.467, 98
80.626, 99
81.209, 100
81.631, 101
85.638, 99
85.832, 100
85.85, 101
90.845, 97
91.992, 98
92.081, 99
93.28, 100
95.841, 101
95.912, 102
96.017, 103
96.159, 104
96.264, 105
96.476, 106
97.462, 107
98.185, 108
98.256, 109
102.246, 107
102.687, 108
102.917, 109
102.988, 110
103.112, 111
103.941, 112
105.901, 113
105.936, 114
105.989, 115
106.06, 116
106.819, 117
106.889, 118
106.942, 119
110.935, 117
111.5, 118
113.707, 119
117.146, 120
119.74, 121
120.893, 122
120.929, 123
120.999, 124
121.158, 125
121.229, 126
121.654, 127
125.651, 125
125.704, 126
126.004, 127
130.709, 128
130.762, 129
130.78, 130
131.24, 131
131.681, 132
131.681, 133
131.787, 134
